자치구,시설명,위치,위도,경도
종로구,종로노인종합복지관,종로구 이화동 25-1,37.563182,127.0173055
중구,신당6동노인종합복지관,중구 신당6동 50-12,37.5636449,126.9997887
중구,묵정경로당,중구 충무로5가 21,37.5312854,127.0064665
용산구,용산노인종합복지관,용산구 한남동 108,37.5647672,127.041337
성동구,성동노인종합복지관,성동구 마장동 798-1,37.5674274,127.0329852
성동구,시립동부노인전문요양센터,성동구 홍익동 16-1,37.551077,127.071588
광진구,광진노인종합복지관,광진구 군자동 364-15,37.5872685,127.0499878
동대문구,동대문노인종합복지관,동대문구 청량리동 11-1,37.5703161,127.0575975
동대문구,중산경로당,동대문구 답십리동 36-31,37.5883679,127.077844
중랑구,중랑노인종합복지관,중랑구 면목동 178-8,37.6042327,127.1076456
중랑구,중랑노인전문요양원,중랑구 망우본동 227,37.5976844,127.0345427
성북구,성북노인종합복지관,성북구 종암동 66-25,37.6056945,127.0480626
성북구,상월곡실버복지센터,성북구 상월곡동 97-36,37.6356738,127.0187195
강북구,강북노인종합복지관,강북구 수유5동 122,37.6825642,127.0435235
도봉구,도봉노인복지센터,도봉구 도봉1동 580-1,37.6804647,127.0568157
노원구,홍파복지원,노원구 상계동 1266,37.6320006,127.0679316
노원구,하계실버센터,노원구 하계2동 375,37.6232768,126.9178675
은평구,갈현노인복지센터,은평구 갈현1동 410-2,37.5945447,126.9167595
은평구,응암노인복지센터,은평구 응암동 126-46,37.6320168,126.930117
은평구,은평노인종합복지관,은평구 진관동 156-6,37.5679923,126.959129
서대문구,서대문노인종합복지관,서대문구 천연동 117-3,37.5982531,126.9559206
서대문구,서대문노인전문요양센터,서대문구 홍은1동 4번지,37.5488741,126.9321881
마포구,마포노인종합복지관,마포구 창전동 140,37.5184202,126.837176
양천구,금실경로당,양천구 신월동 985,37.5184202,126.837176
양천구,신월노인복지센터,양천구 신월동 985,37.5580825,126.8475497
강서구,강서노인종합복지관,강서구 등촌3동 661-4,37.5614704,126.8434998
강서구,등촌4 종합복지관,강서구 등촌3동 690,37.546652,126.8337772
강서구,천사노인요양원,강서구 화곡3동 1010,37.5051932,126.8905976
구로구,구로노인종합복지관,구로구 구로동 25-1,37.4501638,126.8978066
금천구,금천노인종합복지관,금천구 시흥1동 558-1,37.5168303,126.8903247
영등포구,영등포노인종합복지관,영등포구 문래동3가 76-2,37.5004325,126.9290083
동작구,동작노인종합복지관,동작구 대방동 335-10,37.4929311,126.9263007
관악구,관악노인종합복지관,관악구 봉천동 726-3,37.4807063,126.9827766
서초구,방배노인종합복지관,서초구 방배동 455-11,37.5120204,127.0260767
강남구,논골노인복지관,강남구 논현1동 125-13,37.5158762,127.0521299
강남구,강남노인복지관,강남구 삼성동 66번지,37.4984761,127.0955809
송파구,송파노인종합복지관,송파구 삼전동 172-1,37.4856607,127.1338618
