자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
종로구,사직동,284,124,34,35,30,18,10,11,39,37.5848379,126.9819133
종로구,삼청동,110,44,13,13,19,4,1,9,14,37.5962608,126.9676991
종로구,부암동,317,125,27,39,52,22,9,14,45,37.6053351,126.9668582
종로구,평창동,538,214,57,72,87,36,12,19,67,37.5773553,126.9586242
종로구,무악동,328,116,30,45,60,27,11,12,50,37.5718391,126.9619706
종로구,교남동,359,157,34,34,61,23,8,13,44,37.5800055,126.9846912
종로구,가회동,177,75,22,14,27,19,4,6,29,37.5706457,126.988968
종로구,종로1.2.3.4가동,398,161,49,41,57,22,2,35,59,37.5719508,127.0050224
종로구,종로5·6가동,255,126,21,29,28,18,4,13,35,37.5769232,127.0043003
종로구,이화동,328,153,34,36,52,21,3,10,34,37.5706742,127.0163263
종로구,창신1동,316,152,30,29,52,20,1,12,33,37.5744237,127.0108268
종로구,창신2동,486,226,44,71,61,28,2,31,61,37.5777563,127.0149653
종로구,창신3동,340,172,29,30,45,18,4,12,34,37.5777283,127.0156602
종로구,숭인1동,292,132,27,22,57,22,3,10,35,37.5748398,127.0199379
종로구,숭인2동,436,202,40,51,66,22,4,15,41,37.5840608,126.9705804
종로구,청운효자동,461,162,37,104,78,33,7,8,48,37.586755,127.0003554
종로구,혜화동,590,245,54,64,95,41,17,28,86,37.5623685,126.9770254
중구,소공동,29,11,0,5,9,2,1,1,4,37.5572302,126.9793303
중구,회현동,296,118,36,60,34,17,1,12,30,37.55998,126.9858296
중구,명동,130,58,6,27,18,5,4,4,13,37.5600911,126.9955787
중구,필동,173,69,14,31,23,11,1,6,18,37.5617581,127.0077164
중구,장충동,198,83,29,23,33,11,1,5,17,37.5644798,127.0052446
중구,광희동,250,128,24,34,30,11,1,6,18,37.5667292,126.9913019
중구,을지로동,87,48,7,11,13,0,0,3,3,37.565064,127.021826
중구,신당5동,495,242,41,49,70,29,4,24,57,37.5674517,127.0214099
중구,황학동,499,232,65,51,65,22,9,15,46,37.5547582,126.9644988
중구,중림동,534,228,56,69,80,22,10,32,64,37.5615738,127.0194523
