시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
송파구방이복지관,A5039,(장애인) 장애인복지관,장애인지역사회재활시설,송파구,37.5060818,127.0940448
서울시각장애인복지관,A5105,(장애인) 장애인복지관,장애인지역사회재활시설,송파구,37.4936667,126.9187979
서울시립발달장애인복지관,A5108,(장애인) 장애인복지관,장애인지역사회재활시설,동작구,37.5093377,127.0423495
청음복지관,A5237,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.5637278,126.9088528
마포장애인종합복지관,A5241,(장애인) 장애인복지관,장애인지역사회재활시설,마포구,37.6189132,127.080284
다운복지관,A5242,(장애인) 장애인복지관,장애인지역사회재활시설,노원구,37.6139698,127.091444
원광장애인종합복지관,A6053,(장애인) 장애인복지관,장애인지역사회재활시설,중랑구,37.4813987,126.8904193
성프란치스꼬장애인종합복지관,A6313,(장애인) 장애인복지관,장애인지역사회재활시설,구로구,37.470327,127.1193059
성모자애복지관,A6315,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.6804647,127.0568157
대린원,C0001,(장애인) 장애유형별거주시설,장애인거주시설,노원구,37.644436,127.0733938
동천의집,C0003,(장애인) 장애유형별거주시설,장애인거주시설,노원구,37.654754,126.5803989
누림홈,C0005,(장애인) 장애유형별거주시설,장애인거주시설,김포시,37.4991639,126.9466497
삼성농아원,C0012,(장애인) 장애유형별거주시설,장애인거주시설,동작구,37.4603732,127.0921844
다니엘복지원,C0014,(장애인) 장애유형별거주시설,장애인거주시설,서초구,37.6495893,127.0804566
늘편한집,C0029,(장애인) 중증장애인거주시설,장애인거주시설,노원구,37.491434,127.1466515
임마누엘집,C0030,(장애인) 장애유형별거주시설,장애인거주시설,송파구,37.491434,127.1466515
임마누엘보호작업시설,C0031,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.5576791,127.158649
아름해든집,C0054,(장애인) 중증장애인거주시설,장애인거주시설,강동구,37.4914422,127.1456654
신아재활원,C0057,(장애인) 장애유형별거주시설,장애인거주시설,송파구,37.5602563,127.1585555
우성원,C0073,(장애인) 장애유형별거주시설,장애인거주시설,강동구,37.6552809,126.5800806
해맑은마음터,C0075,(장애인) 중증장애인거주시설,장애인거주시설,김포시,37.5484081,126.981314
영락애니아의집,C0083,(장애인) 중증장애인거주시설,장애인거주시설,용산구,37.6092988,126.9237308
사랑의집,C0084,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.5582424,127.1314208
암사재활원,C0086,(장애인) 중증장애인거주시설,장애인거주시설,강동구,38.1890767,127.3677467
문혜장애인요양원,C0093,(장애인) 중증장애인거주시설,장애인거주시설,철원군,37.0631862,127.9708368
참 좋은집,C0141,(장애인) 중증장애인거주시설,장애인거주시설,충주시,37.6056209,126.907072
은평재활원,C0170,(장애인) 장애유형별거주시설,장애인거주시설,은평구,37.5108575,127.0294875
오틸리아 공동생활가정,C0189,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.8663601,127.2505847
생수의집,C0190,(장애인) 중증장애인거주시설,장애인거주시설,포천시,37.4192954,127.2871091
에스알씨(SRC)보듬터,C0203,(장애인) 장애유형별거주시설,장애인거주시설,광주시,37.4881278,126.9882902
새빛바울의집,C0208,(장애인) 장애유형별거주시설,장애인거주시설,서초구,37.616835,126.9311788
바르티매오공동생활가정,C0209,(장애인) 장애인공동생활가정,장애인거주시설,은평구,38.1911749,127.3679984
은혜장애인요양원,C0216,(장애인) 중증장애인거주시설,장애인거주시설,철원군,37.590027,127.0804199
동천하우스5,C0239,(장애인) 장애인공동생활가정,장애인거주시설,중랑구,37.5481125,126.85254
교남소망의집,C0246,(장애인) 장애유형별거주시설,장애인거주시설,강서구,37.6467164,127.0844502
베데스다의 집,C0252,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6363779,127.0776294
베데스다장애인주간보호센터,C0253,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.5988663,127.093874
아름다운,C0268,(장애인) 장애인보호작업장,장애인직업재활시설,중랑구,37.4789943,127.0243414
신망애의집,C0270,(장애인) 장애인단기거주시설,장애인거주시설,서초구,37.0631862,127.9708368
마리스타보호작업장,C0287,(장애인) 장애인보호작업장,장애인직업재활시설,충주시,37.6293439,127.0395021
강북구립장애인보호작업장,C0290,(장애인) 장애인보호작업장,장애인직업재활시설,강북구,37.4114534,127.3144031
한사랑장애영아원,C0298,(장애인) 장애영유아거주시설,장애인거주시설,광주시,37.5278258,126.9678891
용산구립장애인보호작업장,C0299,(장애인) 장애인보호작업장,장애인직업재활시설,용산구,37.4631869,127.0525454
다니엘의집1호,C0300,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.4622984,127.0515305
