시설명,시설코드,시설종류명(시설유형),시설종류상세명,시설주소,위도,경도
송파구방이복지관,A5039,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 송파구 오금로11길 68  ,37.5060818,127.0940448
서울시각장애인복지관,A5105,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 송파구 삼학사로19길 27　,37.4936667,126.9187979
서울시립발달장애인복지관,A5108,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 동작구 여의대방로20길 33-0395(보라매공원내),37.5093377,127.0423495
청음복지관,A5237,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강남구 봉은사로50길 6　,37.5637278,126.9088528
마포장애인종합복지관,A5241,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 마포구 성산로4길 353층(마포장애인종합복지관)(성산동),37.6189132,127.080284
다운복지관,A5242,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 노원구 화랑로478,37.6139698,127.091444
원광장애인종합복지관,A6053,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 중랑구 신내로 56-0(신내동),37.4813987,126.8904193
성프란치스꼬장애인종합복지관,A6313,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 구로구 남부순환로105라길 25-10,37.470327,127.1193059
성모자애복지관,A6315,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강남구 헌릉로757길 35　,37.6804647,127.0568157
대린원,C0001,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 노원구 동일로248길 30(상계1동),37.644436,127.0733938
동천의집,C0003,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 노원구 노원로 18길 41 (하계동 288-1)(하계1동),37.654754,126.5803989
누림홈,C0005,(장애인) 장애유형별거주시설,장애인거주시설,경기도 김포시 대곶면 율생중앙로 83 ,37.4991639,126.9466497
삼성농아원,C0012,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 동작구 양녕로30길 19-4(동작구),37.4603732,127.0921844
다니엘복지원,C0014,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 서초구 헌릉로468길 21-16  ,37.6495893,127.0804566
늘편한집,C0029,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 노원구 중계로 163(중계본동),37.491434,127.1466515
임마누엘집,C0030,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 송파구 양산로10길 26,37.491434,127.1466515
임마누엘보호작업시설,C0031,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 송파구 양산로10길 26,37.5576791,127.158649
아름해든집,C0054,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 강동구 고덕로 295-45(고덕동나동),37.4914422,127.1456654
신아재활원,C0057,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 송파구 양산로8길 17,37.5602563,127.1585555
우성원,C0073,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 강동구 고덕로 295-45(고덕2동),37.6552809,126.5800806
해맑은마음터,C0075,(장애인) 중증장애인거주시설,장애인거주시설,경기도 김포시 대곶면 율생중앙로 89 ,37.5484081,126.981314
영락애니아의집,C0083,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 용산구 후암로4길 70(후암동),37.6092988,126.9237308
사랑의집,C0084,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 은평구 역말로10길 30-1오병이어복지관 1층,37.5582424,127.1314208
암사재활원,C0086,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 강동구 올림픽로 864(암사3동),38.1890767,127.3677467
문혜장애인요양원,C0093,(장애인) 중증장애인거주시설,장애인거주시설,강원도 철원군 갈말읍 텃골1길 13문혜장애인요양원 ,37.0631862,127.9708368
참 좋은집,C0141,(장애인) 중증장애인거주시설,장애인거주시설,충청북도 충주시 산척면 지속골길 71 ,37.6056209,126.907072
은평재활원,C0170,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 은평구 갈현로11길 30,37.5108575,127.0294875
오틸리아 공동생활가정,C0189,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 학동로26길 15401호 (논현동),37.8663601,127.2505847
생수의집,C0190,(장애인) 중증장애인거주시설,장애인거주시설,경기 포천시 군내면청군로 2813-18(직두리 155-5),37.4192954,127.2871091
에스알씨(SRC)보듬터,C0203,(장애인) 장애유형별거주시설,장애인거주시설,경기도 광주시 경수길 25-0SRC보듬터,37.4881278,126.9882902
새빛바울의집,C0208,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 서초구 방배중앙로 99 (방배동)(방배동),37.616835,126.9311788
바르티매오공동생활가정,C0209,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 은평구 불광로9가길 4302호 (불광동),38.1911749,127.3679984
은혜장애인요양원,C0216,(장애인) 중증장애인거주시설,장애인거주시설,강원 철원군 갈말읍 텃골1길 19호,37.590027,127.0804199
동천하우스5,C0239,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 중랑구 동일로104길 3-3301호,37.5481125,126.85254
교남소망의집,C0246,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 강서구 까치산로22길 38-0,37.6467164,127.0844502
