자치구,동,계,위도,경도
종로구,사직동,142,37.5848379,126.9819133
종로구,삼청동,41,37.5962608,126.9676991
종로구,부암동,120,37.6053351,126.9668582
종로구,평창동,198,37.5773553,126.9586242
종로구,무악동,128,37.5718391,126.9619706
종로구,교남동,115,37.5800055,126.9846912
종로구,가회동,73,37.5706457,126.988968
종로구,종로1.2.3.4가동,153,37.5719508,127.0050224
종로구,종로5·6가동,88,37.5769232,127.0043003
종로구,이화동,103,37.5706742,127.0163263
종로구,창신1동,104,37.5744237,127.0108268
종로구,창신2동,163,37.5777563,127.0149653
종로구,창신3동,108,37.5777283,127.0156602
종로구,숭인1동,92,37.5748398,127.0199379
종로구,숭인2동,139,37.5840608,126.9705804
종로구,청운효자동,227,37.586755,127.0003554
종로구,혜화동,229,36.3255706,127.4213488
중구,소공동,7,37.5572302,126.9793303
중구,회현동,110,37.55998,126.9858296
중구,명동,51,37.5600911,126.9955787
중구,필동,74,37.5617581,127.0077164
중구,장충동,65,37.5644798,127.0052446
중구,광희동,77,37.5667292,126.9913019
중구,을지로동,17,37.565064,127.021826
중구,ㄴ,176,37.5674517,127.0214099
중구,황학동,178,37.5547582,126.9644988
중구,중림동,198,37.5615738,127.0194523
중구,신당동,133,37.554376,127.0084746
중구,다산동,209,37.554347,127.011001
중구,약수동,339,37.5615738,127.0194523
중구,청구동,220,37.559973,127.018296
중구,동화동,157,37.5321226,126.9903026
용산구,후암동,312,37.5458707,126.9854421
용산구,용산2가동,161,37.5455655,126.9744151
용산구,남영동,207,37.5342605,126.9515837
용산구,원효로2동,166,37.5417318,126.9613055
용산구,효창동,104,37.5383431,126.9584999
용산구,용문동,175,37.5212905,126.973027
용산구,이촌1동,201,37.5268725,126.9541116
용산구,이촌2동,132,37.5323175,126.9949965
용산구,이태원1동,86,37.5407324,126.9897188
용산구,이태원2동,104,37.520402,126.9945799
용산구,서빙고동,151,37.5265039,127.0011919
용산구,보광동,190,37.5435097,126.9696097
용산구,청파동,298,37.5388162,126.9657772
용산구,원효로1동,171,37.5290615,126.9694881
용산구,한강로동,180,37.5311789,127.0062454
용산구,한남동,191,37.5582108,127.0344343
성동구,왕십리2동,221,37.5662583,127.0453796
성동구,마장동,395,37.5610919,127.0459627
성동구,사근동,122,37.5584261,127.0361028
성동구,행당1동,169,37.55787,127.0292984
성동구,행당2동,333,37.5505499,127.0341139
성동구,응봉동,189,37.5547592,127.0211043
성동구,금호1가동,251,37.5472602,127.0223264
성동구,금호4가동,175,37.5393726,127.0475472
성동구,성수1가1동,216,37.5462887,127.0442133
성동구,성수1가2동,147,37.5394557,127.0540185
성동구,성수2가1동,264,37.5483166,127.0549622
성동구,성수2가3동,152,37.5527653,127.0608277
성동구,송정동,182,37.5640647,127.0554067
성동구,용답동,218,37.5659801,127.031437
성동구,왕십리도선동,376,37.5529815,127.0211044
성동구,금호2.3가동,303,37.5435935,127.0134664
성동구,옥수동,248,37.5374949,127.0705895
광진구,화양동,180,37.5530066,127.0736292
광진구,군자동,276,37.5606486,127.0799594
광진구,중곡1동,254,37.5602037,127.0815433
광진구,중곡2동,287,37.5687026,127.0800152
광진구,중곡3동,291,37.5653701,127.0874036
광진구,중곡4동,485,37.5535934,127.0791827
광진구,능동,132,37.5424289,127.0857094
광진구,구의1동,294,37.5473444,127.0900148
광진구,구의2동,379,37.5389296,127.0976813
광진구,구의3동,288,37.5478086,127.1052825
광진구,광장동,268,37.5344848,127.0822379
광진구,자양1동,342,37.5287076,127.0846269
광진구,자양2동,365,37.5337907,127.0729889
광진구,자양3동,269,37.5401508,127.0650175
광진구,자양4동,271,37.5792622,127.0554405
동대문구,회기동,117,37.5928664,127.0656829
동대문구,휘경1동,184,37.5911446,127.0677097
동대문구,휘경2동,292,37.588908,127.0445965
동대문구,청량리동,406,37.5762288,127.0302138
동대문구,용신동,473,37.5833567,127.0367969
동대문구,제기동,446,37.5763402,127.0562953
